name,level,sex,ctime,rcount,like,content
冬亦念沙,5,女,1547994109,0,70,很多年前我们这里一学校旁边有工厂违法排放什么有毒气体，学生都是戴口罩上学，地方也不管。后来打电话给1818通过媒体曝光，zf才重视这个把工厂拆了，学校周围环境才好起来
连云港明仙,5,男,1547993730,0,7,来说句实在话。现在的年轻人都是抖音和快手。
太阳子民,5,保密,1547955087,0,38,沙雕节目和沙雕网站在一起了！沙雕人民前来祝贺！(°∀°)ﾉ
活腻的小兔子,6,保密,1547951052,1,42,“男的跟男的有什么好聊的”
颠鸾倒凤的孙答应,6,男,1547902726,1,7,天德池需要拥有姓名！！！！！！
啊诶嘛呀,5,保密,1547998136,2,46,"霍金去世前，曾向中国发出严重警告！！！
原因是，当时中国贵州的射电望远镜“天眼”接收到一个来自外太空4光年外的可疑信号。
得知这一消息后，霍金郑重地警告中国：“不要回答！不要回答！不要回答！”
后经过中国政府对外星文明接触各种可能性的慎重考虑和分析，决定不能放过这次千载难逢的机会，并认为中国不回答其他国家也会回答，而且指出这次的交流也许可以引发全人类科技的大跃进。
中国决定回答。
之后中国科学家宣布了发现了太阳的分层结构，可以利用太阳当作一个电波放大器，将人类的信号扩大发送到宇宙中。
随即，霍金再一次警告：“不要回答！不要回答！不要回答！”
中国用太阳向接收4光年外信号的方向，回复了一封信息。内容包括地球行星概况、地球生命系统概括、世界历史基本信息、全部信息为17.5KB。
历史学家们命名这一天为“回复日”。
几天后，全球射电基地同时收到了数以万计的宇宙信号，全部来自四光年外的同一个方向。面对如此反常的信号，人类终于意识到了危险和恐惧。
联合国紧急召开会议，共同研究外星信息内容破译，并宣布全球进入战备状态。
在这段时间地球每日都在持续接收大量外星信号下，联合国外星信息解译小组成立了，集合了所有世界顶尖级科学家，并马上投入到对这几万条外星信息内容的破解翻译工作中。
联合国确定了一个国际性的合作方案，并正式启动了人类逃亡计划，各国拟定经济节省计划，控制人口计划，并开始投入全力研究宇航技术，建造太空舰队。
此时，地球每天收到的外星信号越来越多。人类知道，留给自己的时间不多了。
外星信息解译小组对外宣布：解译程序终于开发成功！
联合国大厦的会议室里，各国首脑紧张地盯着屏幕，程序显示这几万条外星信号都系同样一个信息，随着电脑的破解，一行字清晰地显示在屏幕里，人类终于第一次读到了来自宇宙中另一个世界的信：
那颗蓝色的星球麻烦关一下自由麦"
DallasOrchid,5,男,1547959769,1,9,躺着的确能赚钱，不过有性别要求，也很容易被抓
夜刀神十香Official,6,保密,1548075454,3,23,bilibili的人说话有这么正经吗？
不麻麻辣烫,6,保密,1554735230,0,23,"《bilibili@黄金眼》大型连续剧
第一期：av40964489《灵魂拷问》
第二期：av41675896《战术撤退》
第三期：av42378662《神奇的逻辑》
第四期：av42539263《年度测试卷》
第五期：av43617154《无中生“友”》
第六期：av44371917《要不得的“任性”》
第七期：av45022959《意外的“惊喜”》
第八期：av45683626《较真》
第九期：av46344731《“托尼老师”》
第十期：av47027662《“变魔术”》
第十一期：av47738672《真相只有一个》
第十二期：av48381283《“硬核”--汽车篇》"
青易舍,5,保密,1552748066,1,12,从来没想到，被我嫌弃被我爸妈热爱的1818黄金眼终有一天会在二次元网站那么火， 神奇。。。范大姐帮忙是不是也指日可待。。。
山东男德学院优秀学生,5,保密,1551580226,0,6,沙雕新闻谁都爱看
再也不吃乐事了,6,保密,1551529545,0,14,"幺八幺八黄金眼+哔哩哔哩
=幺哔幺哔黄金眼[小电视_赞]"
斯诺snow_-_,6,女,1549879143,1,13,网络刷单有点像传销，靠拉熟人赚钱，被同学骗进去被骗两百多，告诉我想回本就要再拉同学拿提成，我一想这不就是网络传销，就拒绝了。我一开始以为我那个同学也是不知情或者没意识到这样不好，结果才知道他已经做了两年了，一进学校就开始拉人，骗了好多人了，从此以后特别讨厌他。
小林一顿五个kb,6,女,1549686949,0,6,1818我的快落喷泉[2233娘_卖萌]
DeShuaiZhang,6,男,1548043561,0,9,你们知道为什么黄金眼的粉丝这么少吗，因为每天更新太多了不敢关注啊[2233娘_大笑]
柯基尤里,5,保密,1548041248,3,11,我觉得吧 理发行业可以称得上不次于黄赌毒  医疗   戒网瘾管教所后的又一大暴力行业   想想你去烫发  百十块钱能烫  上千块上万块也能做     发型店标价随时能根据你要求更改  我上次去永琪理发店  标价烫发780染发也是780还是最低的   见我要走  问我多少钱行  我说三百   跑一边呆了会说询问经理  然后回来跟我说能做   从这个就能看出原材料是能低到什么程度
风骚牛仔,6,保密,1547994103,0,6,在开始部分看到改革春风的瞬间，我下意识的提高了音量……[芮小凸小凹_可爱]
莉莉别舌凯菇嫌赃,6,男,1547993672,0,6,很早就开始看黄金眼的沙雕新闻，没想到还会做成这样，可喜可贺可喜可贺(=・ω・=)
一团饭,6,保密,1547993913,0,30,也是辛苦节目组在B站挖评论，那浮躁的气息睿智的发言充斥着整个B站评论区呢……
無極泯滅,6,保密,1547993555,0,6,[一人之下_机智]小时候觉得新闻无聊，长大后发现新闻才是最有趣的节目！
無極泯滅,6,保密,1547993555,0,6,[一人之下_机智]小时候觉得新闻无聊，长大后发现新闻才是最有趣的节目！
蜻蜓队长的仙女棒,5,男,1547993538,0,6,老爸老妈，说出来你们可能不信，我在b站看新闻(ﾟДﾟ≡ﾟдﾟ)!?
莫斯モス,5,保密,1547988238,1,6,我信你个鬼，你找个糟黄金眼坏的很！就知道拿那封面骗我们进来！
敷菓,5,男,1547986522,0,10,当初有好几个鬼畜素材出自黄金眼   还无意间刷了几句“真当黄金眼不上B站“    现在黄金眼真上B站了感觉有种莫名的既视感2333[2233娘_大笑]
拍腿的神爷,6,男,1547977998,0,6,毕竟B站是文化输出产物，能上这里的人除了简单的成为一个新梗外，要不就能一直红要不就能一直黑，效果堪比微博数倍，且不会平息，甚至还会被大数据推荐给其他用户观看(苦笑)
房产局n,6,保密,1547972424,0,12,有话好好说，别找黄金眼
甜辣耶耶,5,保密,1547965681,0,11,bilibili，1818，同为ABAB模式
月下东白,6,保密,1547959123,0,6,哈哈哈哈哈哈哈哈读评论简直公开处刑，幸亏没把名字念出来
1X4闲,6,男,1547922675,3,6,有没有在床上一起休息过?
我们几个人中出了一个叛徒,5,保密,1547911707,0,6,1818黄金眼，网红制造机
抑圧错乱的疾患妄想i,5,保密,1547907819,0,6,突然感觉.沙雕的不是我.而是这个世界.
INF迷小茫,5,保密,1547903689,2,15,刚才看电视的时候突然发现1818竟然跟B站一起玩了，杭州人民表示这个就是每天的下饭综艺啊，哈哈哈哈哈哈
普朗克长得很帅,6,保密,1547896236,0,6,我爱沙雕新闻[芮小凸小凹_哼]
你见到过啄木鸟吗,6,保密,1547982652,0,8,那个网友评论环节是真的尬[2233娘_无言]
浊影QI,5,男,1596537784,0,5,[热词系列_知识增加]
龍龙陇瀧,5,保密,1559128598,0,5,不喜欢看浙江卫视的综艺节目，什么跑男，什么演员的诞生，矫揉造作，都太假。就爱看你们的6频道，1818黄金眼，钱塘老娘舅，相亲才会赢，这三档节目才好看。
栐鹤,6,男,1550940476,0,5,白马会，天上人间不都是躺着赚钱吗？一天万把块，轻松又快乐(=・ω・=)
Angelan,6,女,1548724219,1,7,之前1818黄金眼停播了还挺伤心的 没想到今天在B站上看到了这个栏目 嗨森！
在下腐胖有何貴幹,5,保密,1548001065,0,5,多少官方来破站放飞自我[2233娘_大笑][2233娘_大笑][2233娘_大笑][2233娘_大笑]
赵媛媛の老公,5,保密,1547999131,1,10,躺着赚钱？女优有时候都得站着，跪着，蹲着
叔叔我真的生气了哦,6,保密,1547996670,1,5,为什么会变成这样呢……第一次，有了喜欢的节目；第一次下到了一生的APP。这两件愉快的事情交织在了一起。而这两份喜悦，又会给我带来许许多多的喜悦。我本应该获得了这种如梦一般文体两开花的幸福时光才对。可是，为什么，会变成现在这样呢。
油炸冬瓜皮,5,男,1547995439,1,8,听说配音小哥因为我的评论笑场了？(=・ω・=)
弦的心跳,6,保密,1547990500,0,5,"第一期：灵魂拷问
第二期：裹上面包糠
第三期：炸至金黄
第四期：隔壁家小孩馋哭了"
蛮吉xx,6,保密,1547987106,0,5,1818黄金眼，B站的鬼畜素材后花园…[蛆音娘_滑稽]
泼墨题绝笔,5,男,1547909177,0,5,我薛某人上电视了，1818打钱！
酸冰糖甜可可,6,保密,1547899300,0,5,"完了完了！1818这是深陷死宅窝里不可自拔了呀！热心沙雕网友们快行动起来把他教坏！
[蛆音娘_滑稽]"
吹牛上瘾,5,保密,1586601271,1,4,两个有灵魂的节目合体了，变成了哔哩黄金眼[喜极而泣]
余生结羽生,6,保密,1552739127,0,4,1818好皮啊
软虾奶奶,5,保密,1550364698,0,4,不得不说，黄金眼的采访记者是黄金眼的灵魂。哈哈哈哈哈，你们是去哪里找到那么牛的记者[小电视_笑]
えっっっっっっ,5,女,1549794044,1,4,今天跟爸妈看1818黄金眼居然发现有bilibili？！
灭绝师太KO,5,女,1549710438,0,4,特别喜欢1818黄金眼，自从小杨记者露了脸之后，就更喜欢的一发不可收拾了!（￣▽￣）（￣▽￣）（￣▽￣）
鲤枝繁叶茂,5,女,1549182530,0,4,本来感觉新闻挺枯燥的 ，后来看了1818黄金眼，我再也停不下来了，我的快乐源泉啊(｀・ω・´)
不爱吃糖_,5,女,1548586239,0,4,今天看1818黄金眼发现左下角放农夫山泉的旁边多了一个小电视(｀・ω・´)
mimiudaze,5,保密,1548574964,0,4,"我来哔哩哔哩不就是来看番剧的吗？看什么新闻。诶？这是什么?新闻?我打死都不看!
诶嘛真香(=・ω・=)"
库洛猫猫猫猫,6,保密,1548171020,0,4,1818播放bilibili   bilibili再播放1818[小电视_嘟嘴]
懒得p图派蒙,6,男,1548046612,0,4,选的评论都不够沙雕啊哈哈哈
ACGN爱好者,5,保密,1548031211,0,4,我只怕记者如此问容易挨揍，毕竟那些人也不是什么魔鬼
万碎爷-法斯,5,男,1548007233,0,4,黄金眼加油，干翻中二台(ง •_•)ง
泉此方同行,6,保密,1547998685,0,4,我不是浙江人却天天在关注浙江的新闻。。。。这档节目是真的神奇。。。
丿蟹灬黄丶堡,5,保密,1547995568,0,4,1818敢不敢放真正的神评论
雨宮萤,6,保密,1547992582,0,4,快乐源泉×快乐源泉＝沙雕源泉
槑油小钱钱,6,保密,1547991268,0,4,看来以后看新闻得多写点评论，万一上电视了呢_(:3」∠)_
爽籁清风1,5,保密,1547989033,0,4,黄金眼的记者问的问题很棒，真的是灵魂拷问，就问你心不心虚
猫小靓,6,女,1547988887,0,4,恭喜青年人最关注的新闻节目登场！(°∀°)ﾉ
老城堡哟,5,男,1547987229,0,4,小时候在电视上看的1818贼喜欢看，后来不看电视了，突然在b站上刷到1818，又是那个熟悉的声音满满的回忆
吃饼呱嘣脆,6,男,1547986891,0,4,首页看到还以为是个广告(ﾟДﾟ≡ﾟдﾟ)!?惊了，小可儿NB！
上剑豪的瑞萌萌,6,男,1547986718,1,4,说实话。。有点尬(非引战)～
大家好我是渣渣橙,6,男,1547965911,0,4,以后谁想红就上bilibili@黄金眼[小电视_赞]
友利奈绪太可爱,6,男,1547956073,0,4,记者的提问真是秀的我头皮发麻[芮小凸小凹_超棒]
沃法,6,男,1547952436,0,4,可你为什么用沙雕表情包当头像[小电视_思索]
Dynamight,5,女,1547945154,2,4,1818不敢放真正的神评论。
账号已注销,0,保密,1547934431,0,4,"我是来自广东佛山的 真好啦 浙江有1818   可惜我不是浙江人 要有爆料找1818 不知道会不会来这边 噗  本来我是很少看新闻的 也不关注GJ大事 自从B站看了1818 每天打开B站第一件事就是。。。1818黄金眼  连续剧式的跟踪报道 直击心理防线的灵魂拷问  
恶人先告状的沙雕自爆  时不时就有人丢东西的天德池  经常出纠纷的理发店  买了病历  马杀拉底和送豪宅的敏宝宝 等等等等  让我对新闻有了不一样的认知和理解  1818黄金眼  民生事件好帮手  支持1818 😁
PS: 能让小杨记者多点出镜吗？"
vinaOwO_Official,6,女,1547926618,0,4,哈哈哈哈哈哈哈哈不是我们开始爱看新闻了  是因为1818黄金眼的新闻都太好看了哈哈哈哈哈哈
怂然Peanut,6,保密,1547914678,4,4,住在杭州，小时候经常看《1818黄金眼》。杭州知名“民事纠纷调解节目”居然和B站合作了？！[小电视_吃惊]
小哥胡林,5,保密,1547914266,0,4,活了30年第一次见配音笑场的，1818果然是出类拔萃(;¬_¬)
JJJoKer呀,5,保密,1547911655,0,4,我特喵我爸每天晚上必须得看1818黄金眼，看到这个估计明白为什么我这么沙雕了
那什么duang的一地碎了,5,男,1547909349,0,4,我正想去搜1818黄金眼的天德池里丢东西的原版采访视频，结果你给我推送这个！(｀・ω・´)
杭州新农民,5,男,1547904773,1,4,哈哈，现在电视上播1818主持人左下角多了个哔哩哔哩的电视图标
长离Changli,5,女,1547898367,0,4,浙江人民表示今天看1818的时候懵逼了(ﾟДﾟ≡ﾟдﾟ)!?(ﾟДﾟ≡ﾟдﾟ)!?(ﾟДﾟ≡ﾟдﾟ)!?
卢西奥显卡速修,6,保密,1547896329,0,4,"灵魂拷问（4/1）

超额完成"
我的五杀你搶不了,4,男,1547989170,1,6,"我也没啥要说的了，干脆:
↓如下是你的压岁钱能收多少（恶魔低语）"
メメメメメメメメメメ,6,男,1618483175,0,3,我一个月工资9000，留下200吃用，剩下的全部刷给主播，你知道他们叫我什么吗？他们叫我老铁，说我没毛病，还夸我666，手中的白馒头和白开水瞬间吃出了提拉米苏和星巴克的味道，哈哈哈好期待下个月快点到来。哈哈哈
寒隐青筝,6,保密,1596539422,0,3,[热词系列_知识增加]
阿越也是阿杲QWQ,5,女,1595937548,0,3,1818真的快乐源泉哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。我们有事就想到1818。上次学校提前开学，除了教育局，大家还集体去给1818打电话。
黑瘦的水牛,5,保密,1572668562,1,3,因为曝光豫章书院，我朋友被逼到自杀av73372900当事人告诉你豫章书院完整始末av73836578吴军豹到受害者家里挑衅2019六月份av69666407微博网友小剑暗访豫章书院2017年av15927422两年前的豫章书院恐怖恶行还记得么av73431494夜探豫章书院2019年av73889593如果书院没出事家长还会把孩子送进去2017年av73682949无法告别的临沂网戒中心av8477483杨永信电人实录av42492211细数杨永信的三十一条罪行av7410837
澤元亞,5,保密,1557143768,0,3,好久好久以前我就评论说，说不好浙江消费者法会因为1818特别先进，然后普及全国……
星羽丿XingYu,4,保密,1555828289,0,3,和b站合作之后粉丝涨了二十万
颅骨之下,6,男,1553248558,0,3,躺着赚钱的只有av演员和碰瓷的
热心市民小逸,6,男,1551534452,0,3,发现了宝藏哈哈哈哈啊哈[2233娘_大笑][2233娘_大笑]
KRAM今天发货了吗,6,女,1550937841,1,3,真的是我们更喜欢看新闻吗，而不是发现快乐源泉吗
漩涡A梦,5,男,1550146907,0,3,最大的同性交友网站
zm安暖,5,保密,1550032798,0,3,当1818的记者老幸福了吧
一叶萩碱,6,保密,1549594455,0,3,快乐的源泉(｀・ω・´)
小兲大大,6,男,1548677279,5,3,为什么哔哩哔哩的番号是a v开头的....
一米优城,6,保密,1548609617,0,3,说实话这种的新闻还挺喜欢看的，不是说现在的新闻形式不好，但是我觉得我更适合这种逗比的风格哈哈哈[小电视_笑]
开天辟地蔡尔夫,5,保密,1548581005,0,3,“更多的人爱关注民生，爱看新闻了……”原住民已经不是十年前的小屁孩了......
海茶子染,6,保密,1548580709,0,3,沙雕评比现场，新的快乐源泉
咪布人,6,保密,1548149255,0,3,b站和黄金眼组合就叫做b黄吧
碎濉念,4,男,1548116515,0,3,没想到还有在B站看黄金眼的一天，那手艺人耿哥是不是也不远了😂
大up主,6,男,1548087572,0,3,早知道，就认真点评论了，还能从另一个角度上个1818呢
改不了不改行么,5,男,1547998391,0,3,不是那个笑场的太不专业了，噗哈哈哈哈哈哈
你的刘小备,5,男,1547998653,1,3,我不敢乱评论，怕等会儿有人用青龙偃月刀教我梳中分，用方天画戟给我削苹果，用传国玉玺给我砸核桃吃，爬高压线给我弹奏东风破，用定海神针给我织毛衣，然后叫我秀儿
璃音_Rion,6,女,1547995629,0,3,这个头像，内容居然这么正经[洛天依_看透一切]
百里嵩涌,6,男,1547993942,0,3,希望以后多报道点沙雕新闻。
故人已去夕陽辭,5,男,1547993135,0,3,你要不来B站我还真不知道十三亿人中间有那么多人才哈哈哈哈哈
小满满bilbil,6,保密,1547992179,0,3,我不是爱看新闻因为1818太多沙雕趣闻趣事可
ta晓得个锤子,6,男,1547991820,0,3,小时候最爱的节目和年轻时最爱的网站走到了一起。[小电视_赞]
_螺蛳粉-,6,保密,1547989609,0,3,说来奇怪，我以前抱着看番的心态来b站。结果现在几乎不看番了，天天都在用b站看新闻（￣▽￣）
上善若㵘,6,男,1547989062,0,3,欢迎各大卫视入住B站
上火凉茶ask,5,保密,1547989239,0,3,那么问题来了，《改革春风吹满地》有没有上今年春晚呢？毕竟《生僻字》都嚷嚷着要上春晚了【滑稽】
吉祥鸟漫画,6,男,1547988566,0,3,1 9 1 9 黄 金 眼（银小鬼并感）
Alrgin,5,男,1547987948,8,3,1818是哪个卫视的啊
CAFE的味道,6,男,1547981383,2,3,B站也是混起来了各大媒体争相注册小号，发现官方账号都没有我等级高我就乐的不行[2233娘_大笑]
唐僧一辈子,5,保密,1547968066,1,3,"我 苍老师 躺着赚钱,有什么错?"
啊雷电战机,5,男,1547967775,0,3,支持b站最强直击灵魂民生栏目！
ccttctt,6,保密,1547964714,0,3,我在bilibili看1818讲bilibili
广东康娜,5,女,1547959416,0,3,有空跟今日关注也合作一把呗
痴汉山楂楂,6,保密,1547959026,0,3,哈哈哈哈哈哈哈哈哈哈哈沙雕网友被公开处刑
581号人类后腿,6,保密,1547959460,0,3,读评论环节太羞耻了！！！！但是我想上！
m喵啦个咪m,5,女,1547958209,0,3,壮哉我大杭州[芮小凸小凹_666][芮小凸小凹_666][芮小凸小凹_666]
桐子解千年,5,保密,1547951178,0,3,B站新闻类只关注1818黄金眼
爱吃钉宫的香菜癌,6,保密,1547950307,0,3,www快乐眼有官方了
武松焦饼,5,保密,1547946412,0,3,黄金眼记者必备技能，心灵重锤
杙辺,6,男,1547943768,0,3,你们明明是一个正经的节目，但为什么我看着这么不正经呢。[洛天依_滑稽]
你要是被绑架了眨眨眼,5,女,1547938789,8,3,考虑让小杨露个正脸，自我介绍下什么的，保准更涨粉
浙江六频道1818黄金眼,5,男,1547920217,0,3,[小电视_害羞]跟臭味相投的兄弟聊天真的有意思，一聊就停不下来，一起看电影的次数比跟女朋友还多。
胖虎桃桃桃,5,保密,1547916400,0,3,啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
快递员,6,保密,1547908894,0,3,还一本正经的做成电视的4：3画幅 [小电视_害羞]
揚百万,6,保密,1547907890,0,3,哈哈哈哈，应该只有我一个人18年年度报表最喜欢的up是黄金眼了吧，每天的快乐源泉
无聊的Z菌,6,男,1547906740,0,3,卧槽，我上电视了
NotBypass,6,保密,1547905590,0,3,浙江民生频道1818黄金眼这边出现了小电视(和矿泉水在一起)和Bilibili
Schneider-Wu,6,男,1547903017,0,3,全中国最皮的民生节目，我湖南的，连我们湖南的都市一时间都不看，尽看你们浙江的黄金眼了。
苦艾酒の温床,5,保密,1547901126,0,3,可以给我们的摄像小哥一期专题节目嘛，讨论一下为什么特写镜头那么优秀？还有主持人，又是你，不是你
空耳小天王,6,保密,1547900132,0,3,。。。这是要笑死我的节奏吗？ 官方合作 哈哈哈哈哈
千叶丶畵,6,保密,1547897312,2,3,https://www.zhihu.com/question/303573959/answer/540332716
鱼桌桌,5,女,1547896168,0,3,哈哈哈哈一本正经的播音腔真的好好笑啊
桑秋_,6,男,1547989693,0,4,看见改革春风吹满地上电视了的标题才点进来的？？？？
木棉枝头,5,保密,1634181074,0,2,哈哈哈，这是民生问题吗，这是笑话合集吧，笑死我了[喜极而泣]
容止盈,4,保密,1629961263,0,2,以前觉得挺好的，现在吵得不像话评论无智商现在都是关弹幕的
小园游会,5,女,1626883952,0,2,好玩
1234567上山打狗熊,5,保密,1611962608,0,2,挺好，也挺可悲的，维权靠媒体，那几个黑店常客有多大能量。
江梓樱,5,保密,1606752640,0,2,诶嘿嘿嘿去年看的，继续
无聊星座,5,男,1596592705,0,2,我应该是考古的第一个吧[微笑][微笑][微笑][微笑]
青铜付海,5,保密,1596555567,0,2,https://www.bilibili.com/bangumi/play/ss21953 https://www.bilibili.com/bangumi/play/ss32801?theme=movie
艾连-噎嗝儿,5,男,1596545586,0,2,这……[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]
无所谓-我腾不出手,5,保密,1596531059,0,2,1118黄金眼
永不停的彗星,6,保密,1567649879,0,2,然而现在黄金眼已经凉了
笑脸涉嫌违规,5,保密,1560772260,0,2,好喜欢这种方式的新闻啊
玩儿384,6,保密,1558529537,0,2,沙雕新闻加上沙雕网友，绝了！
丨天高云阔风语如歌丨,6,保密,1556774288,1,2,所以说 要怎么才能加入这个沙雕1818黄金眼
遗忘宠爱,5,女,1556131243,1,2,@星辰钟塔的不死人 恭喜这位b站用户上电视了
我真是个欧皇,5,女,1556108210,0,2,作为一个美发人（只是从事，不是老板），顾客回店里说不满意，如果是烫发，首先是要给洗头发的，因为一些比较自然的发型有可能是自己造型打理的问题。如果洗完造型效果依然不满意，会有退款和重新做两个选择，七天内不满意是会给重做的。至于颜色，如果明显色差，那不用多说，直接还是上边两个选项，颜色还用说什么，长了眼睛都能看出色差。如果和色板上顾客选择的颜色一致，是会收一些成本费，因为，你选了这个颜色，我们做的和色板没有差别，那重做老板会收取成本费（还会扣我们工资，只要顾客不满意都会扣工资。金额不大，因为金额一旦超过心里负担，就会有嘴硬的发型师不承认自己失误）一些小作坊夫妻店就会有不良心的，不承认是自己操作失误，不愿意承担责任，这是个人心态有问题。作为一个美的行业，是要给人以愉快的美的心情。让顾客做完了头发，感觉自己焕然一新，还想出去买新衣服买新鞋开开心心才是最成功的
做一棵有思想的苇草,6,男,1555828887,0,2,躺着挣钱可还行 现在卖身都不能躺着挣钱了 得有妓。。。哦不技术[2233娘_喝水]
好事做尽捏,6,保密,1554099367,0,2,黄金眼都有番号了[阴险]
白前軰,6,男,1553769271,0,2,今天恰饭看电视上出现bilibili1818黄金眼的广告[喂，看见耳朵啦！_吓]
时间的虫子,6,保密,1552784420,0,2,1818已成功b站文化附体
筱之凌上,6,保密,1551537307,0,2,哈哈哈哈哈哈
嘉晩饭,6,男,1551530793,0,2,貌似以前1818挺多黑历史的[小电视_发愁]
玥芸_Yueyn,6,保密,1551021908,0,2,hhhhhhh我在首页上看到以后 从头补完了[小电视_我好兴奋][小电视_我好兴奋]
言魔恋,6,男,1550937346,0,2,纹身那个，可能是有高手的，可是就是安排了个低手来在他身上练习（￣▽￣）
ZZYYR贴贴,5,女,1550927706,1,2,你让我爱上了新闻(｀・ω・´)
莲子姐姐qvq,6,男,1550926029,0,2,温州人惊了[2233娘_吃惊]
次元yh,5,男,1550332435,0,2,哈哈哈哈厉害
消叼,5,保密,1550321656,0,2,老喜欢这样的新闻
曾经还是个半仙咩,6,保密,1549798140,0,2,哈哈哈哈哈哈今天看电视突然发现主持人画面左下角那里有个小电视，瞬间想笑哈哈哈
小电子牌儿,5,保密,1549709231,0,2,我比较喜欢的是黄金眼
若即若离IM,6,男,1548591202,0,2,1818黄金眼=快乐源泉[2233娘_耶]
湿湿碎,6,男,1548588239,0,2,灵魂拷问:你贵姓啊?
浓缩型福灵剂,6,保密,1548581826,0,2,"我本来哈哈哈哈哈哈哈哈哈看到烫头发那里突然……
全天下一半tony都是靠毁毛挣钱的呢（ '▿ ' ）
（****"
吴家日天,5,保密,1548576515,0,2,100万流动资金土豪(=・ω・=)
账号已注销,0,保密,1548572156,0,2,居然没有 眉有办法
Rhenz,6,保密,1548568742,1,2,这个是b站自营的综艺节目吗
烟熏咸鱼卷,5,女,1548566899,0,2,这个配音让我有种 ，午后在爷爷奶奶旁边看小地方台的感觉。
blibli老江,5,男,1548163654,0,2,赚着躺钱←_←吧
深海故乡丶,6,女,1548150659,0,2,这些记者会不会当场被揍啊哈哈哈哈哈哈哈
NaomiLi,5,女,1548147147,0,2,在b站介绍b站哈哈哈
季酒酒酒酒_,4,女,1548097676,0,2,哈哈哈哈哈哈哈问得好 笑死我了
